Run,Event,type1,Q1,pt1,eta1,phi1,E1,px1,py1,pz1,type2,Q2,pt2,eta2,phi2,E2,px2,py2,pz2,M
166462,539406148,G,-1,12.0595,1.8301,-1.6120,38.5591,-0.4963,-12.0493,36.6246,T,1,1.6764,1.5746,-0.6504,4.2223,1.3341,-1.0150,3.8738,4.3154
166462,539995739,G,1,36.9855,1.6496,-3.0793,99.8089,-36.9138,-2.3022,92.7031,T,-1,1.5232,1.3008,2.0413,3.0058,-0.6905,1.3576,2.5892,8.6526
166462,540314291,G,-1,16.1589,-1.9692,0.8565,59.0189,10.5856,12.2088,-56.7636,T,1,2.6255,-2.0124,1.2442,9.9965,0.8422,2.4867,-9.6450,2.5254
166462,540280900,G,1,10.7832,-1.2525,0.7642,20.4067,7.7849,7.4614,-17.3247,G,-1,3.1387,1.6154,-0.1495,8.2060,3.1037,-0.4675,7.5813,23.5844
166462,539644098,G,1,25.0845,1.9942,1.7289,93.8480,-3.9487,24.7717,90.4334,T,-1,1.1440,1.7565,0.7458,3.4135,0.8403,0.7763,3.2144,5.2153
166462,540605482,G,1,21.7685,0.4460,-0.6892,23.9695,16.7998,-13.8432,10.0329,G,-1,7.7360,0.5353,-0.9100,8.8719,4.7479,-6.1077,4.3421,3.0859
166462,540685202,G,-1,25.2074,2.3940,2.3812,139.2570,-18.2646,17.3730,136.9560,G,1,18.2105,0.1437,2.3849,18.3991,-13.2413,12.5016,2.6257,59.0511
166462,540491085,G,1,3.2773,2.2495,0.7625,15.7120,2.3699,2.2637,15.3661,T,-1,0.9851,2.0316,-0.4879,3.8225,0.8702,-0.4618,3.6918,2.1394
166462,539932910,G,-1,2.5649,-2.3406,3.0064,13.4458,-2.5415,0.3458,-13.1985,T,1,2.4095,-2.2779,-2.8686,11.8772,-2.3202,-0.6496,-11.6298,1.0198
166462,540121806,G,-1,3.4894,1.8442,-0.1551,11.3083,3.4475,-0.5391,10.7559,T,1,1.0249,1.8779,-1.4286,3.4312,0.1452,-1.0146,3.2729,2.2498
166462,540199862,G,1,4.6557,-1.1820,-0.5289,8.3054,4.0196,-2.3493,-6.8770,T,-1,4.2918,-0.9025,-1.6945,6.1624,-0.5297,-4.2589,-4.4210,5.0775
166462,540205944,G,1,2.8936,-2.2608,-0.6323,14.0276,2.3342,-1.7101,-13.7256,T,-1,1.5375,-2.3653,-1.5684,8.2582,0.0037,-1.5375,-8.1131,1.9159
166462,539766263,G,1,17.0825,1.3622,0.9240,35.5388,10.2948,13.6318,31.1638,G,-1,6.7397,-0.4711,-2.2597,7.5024,-4.2846,-5.2025,-3.2940,31.1217
166462,539952287,G,-1,31.4357,0.0170,1.0886,31.4404,14.5783,27.8510,0.5350,T,1,2.3112,1.9591,-2.8681,8.3599,-2.2253,-0.6242,8.0334,24.8332
166462,540678543,G,1,24.1610,1.6584,1.5469,65.7359,0.5765,24.1541,61.1346,T,-1,2.1912,-1.6404,-2.0515,5.8634,-1.0132,-1.9429,-5.4376,39.1231
166502,45535566,G,1,2.4142,2.0135,2.0037,9.2020,-1.0128,2.1915,8.8791,T,-1,2.1907,2.3412,1.0216,11.4907,1.1436,1.8686,11.2795,2.2973
166502,45666340,G,-1,2.3629,2.2707,0.8717,11.5660,1.5206,1.8087,11.3216,T,1,0.8156,2.0363,2.3390,3.1795,-0.5667,0.5866,3.0713,1.8875
166502,46055620,G,-1,2.9741,-2.2052,2.4844,13.6551,-2.3547,1.8169,-13.3269,T,1,1.3771,-1.7407,-2.5743,4.0475,-1.1613,-0.7400,-3.8046,2.5122
166502,45522315,G,1,18.2495,1.0608,1.1322,29.5182,7.7505,16.5219,23.2006,G,-1,4.1830,0.7194,1.0406,5.3140,2.1153,3.6087,3.2756,3.1025
166502,45527031,G,-1,5.6781,-1.5214,-2.0696,13.6490,-2.7216,-4.9978,-12.4056,T,1,1.5324,-1.9116,-2.2009,5.2969,-0.9029,-1.2381,-5.0693,1.2212
166502,45423254,G,-1,21.7566,0.4545,-0.8357,24.0429,14.5918,-16.1378,10.2322,T,1,3.6937,0.6199,0.4505,4.4277,3.3251,1.6083,2.4393,10.8535
166502,45591366,G,1,22.6742,-1.4640,1.6786,51.6345,-2.4397,22.5426,-46.3895,G,-1,2.5887,-1.3781,2.0869,5.4627,-1.2775,2.2515,-4.8092,3.1753
166502,46401173,G,-1,4.0084,1.6335,2.9502,10.6568,-3.9352,0.7625,9.8736,T,1,1.2406,-2.0746,0.0925,5.0174,1.2353,0.1146,-4.8605,14.5753
166502,45736737,G,1,14.7567,2.2091,1.3272,68.0062,3.5592,14.3211,66.3858,T,-1,1.1910,1.5733,0.0261,2.9971,1.1906,0.0311,2.7482,5.7560
166502,45653627,G,1,6.3194,2.2697,-0.1982,30.9013,6.1957,-1.2442,30.2480,T,-1,1.5184,2.2961,-0.5900,7.6195,1.2617,-0.8447,7.4660,1.2086
166502,46125299,G,-1,5.5364,-2.1564,-0.8782,24.2384,3.5351,-4.2609,-23.5974,G,1,17.4464,-0.5802,2.8419,20.4665,-16.6687,5.1509,-10.6999,25.4734
166502,45084047,G,1,45.5204,1.9886,-2.5981,169.3890,-38.9624,-23.5379,163.1580,G,-1,32.2197,0.7292,0.6540,41.1718,25.5722,19.6004,25.6320,92.1918
166502,45414239,G,-1,35.4262,1.8711,0.8751,117.7780,22.7056,27.1932,112.3240,T,1,1.9231,1.5983,1.5252,4.9502,0.0877,1.9211,4.5602,5.7349
166502,45365029,G,1,8.3828,-2.2267,-2.6709,39.3046,-7.4713,-3.8014,-38.4002,T,-1,4.7437,-2.2883,-2.9973,23.6238,-4.6944,-0.6820,-23.1423,2.0856
166502,46013973,G,-1,18.8594,-0.6125,1.9345,22.5092,-6.7088,17.6259,-12.2873,G,1,6.5668,-0.2404,2.7802,6.7583,-6.1427,2.3218,-1.5938,10.0387
166502,46127573,G,1,5.0462,2.2251,-0.5935,23.6222,4.1833,-2.8220,23.0767,T,-1,1.8607,1.4673,-1.6757,4.2511,-0.1948,-1.8504,3.8208,3.9521
166502,46065506,G,-1,3.7065,1.3232,-0.5636,7.5752,3.1845,-2.0116,6.5716,T,1,1.3237,-2.1290,1.1728,5.6433,0.5130,1.2202,-5.4848,12.5166
166502,46438090,G,-1,2.2697,-1.4635,2.9620,5.1677,-2.2332,0.4055,-4.6413,T,1,12.4893,-0.9391,3.0283,18.4135,-12.4092,1.4125,-13.5301,2.8464
166502,45725144,G,-1,33.1911,-1.1428,-2.8771,57.3288,-32.0372,-8.6754,-46.7433,G,1,7.8427,0.2098,0.0666,8.0167,7.8253,0.5220,1.6577,39.8061
166502,46037624,G,1,30.5275,-1.7992,-1.6917,94.7870,-3.6805,-30.3049,-89.7365,T,-1,1.3373,-2.0314,-2.3032,5.1870,-0.8943,-0.9943,-5.0105,4.1246
166502,45876018,G,1,22.5191,1.3544,1.3501,46.5296,4.9306,21.9727,40.7170,G,-1,5.2660,0.8796,0.6598,7.4387,4.1609,3.2277,5.2527,9.0299
166502,46482895,G,1,3.3380,2.2353,2.1597,15.7834,-1.8539,2.7758,15.4261,T,-1,1.8766,1.6281,1.2133,4.9650,0.6567,1.7579,4.5955,2.7542
166502,46618487,G,-1,3.2565,-1.3047,0.6732,6.4450,2.5461,2.0303,-5.5608,G,1,19.1349,-0.9445,-2.9516,28.3230,-18.7906,-3.6136,-20.8816,15.5935
166502,46976223,G,-1,8.1940,-2.2522,-0.9642,39.3861,4.6711,-6.7322,-38.5242,T,1,2.7095,-2.1208,-0.6862,11.4585,2.0962,-1.7168,-11.1331,1.4451
166502,47177684,G,-1,18.7123,-2.1810,-2.8923,83.9028,-18.1338,-4.6167,-81.7895,T,1,0.7690,-2.1075,-1.6199,3.2121,-0.0377,-0.7680,-3.1169,4.5162
166502,46670609,G,1,42.1587,1.1783,2.5214,74.9715,-34.3075,24.5021,61.9948,G,-1,39.5869,0.2456,-0.6378,40.7871,31.8049,-23.5706,9.8209,90.7490
166502,46997577,G,-1,8.1473,0.3516,3.1279,8.6567,-8.1465,0.1118,2.9239,T,1,0.7414,-2.1270,1.4502,3.1562,0.0892,0.7360,-3.0660,8.5923
166502,46538802,G,-1,19.1129,0.0667,-2.6265,19.1558,-16.6330,-9.4152,1.2764,T,1,4.9877,-1.2596,-0.1140,9.4966,4.9553,-0.5673,-8.0806,23.2075
166502,47648698,G,1,4.2486,2.1702,2.4845,18.8522,-3.3639,2.5952,18.3669,T,-1,1.2391,1.6243,1.0747,3.2682,0.5898,1.0898,3.0223,3.2325
166502,47356262,G,1,27.3647,0.2765,2.8331,28.4176,-26.0725,8.3099,7.6629,T,-1,2.1019,-1.7351,-0.3586,6.1447,1.9682,-0.7377,-5.7731,23.5064
166502,46502747,G,1,6.8960,1.2114,0.6543,12.6063,5.4719,4.1967,10.5524,T,-1,3.4274,-2.2393,-2.1065,16.2682,-1.7496,-2.9472,-15.9027,28.1007
166502,47085371,G,-1,30.3946,-1.7949,-0.0585,93.9986,30.3426,-1.7779,-88.9489,G,1,25.4445,0.1973,-3.0384,25.9417,-25.3092,-2.6202,5.0537,85.4550
166502,47440795,G,-1,17.0079,1.1189,3.0855,28.8139,-16.9811,0.9541,23.2585,T,1,1.1406,2.0605,-0.8982,4.5504,0.7106,-0.8922,4.4039,9.1179
166502,46610477,G,-1,16.0393,-1.3124,-0.6330,31.9519,12.9321,-9.4880,-27.6343,T,1,0.9945,-1.8019,2.2250,3.0979,-0.6052,0.7892,-2.9320,8.1506
